MPSOLVER_OPTIMAL
Optimal solution found!:
ガ 4 0100012 11
ぼ 4 0100021 11
ひ 4 01001001 11
ぐ 4 0100102 11
音 3 0100111 11
量 3 010013 11
足 3 01113 11
越 3 02000001 11
走 3 0200002 11
説 3 0200011 11
話 3 020003 11
荷 3 02013 11
草 3 10000002 11
船 3 10000011 11
舞 3 1000003 11
考 3 10000101 11
空 3 1000012 11
示 3 1000021 11
石 3 10001001 11
眠 3 1000102 11
町 3 1000111 11
生 3 100013 11
特 3 1000201 11
牧 3 100022 11
無 3 10010001 11
河 3 1001002 11
民 3 1001011 11
歩 3 100103 11
格 3 1001101 11
晴 3 100112 11
散 3 1002001 11
撃 3 100202 11
指 3 10023 11
復 3 10100001 11
廊 3 1010002 11
巨 3 1010011 11
少 3 101003 11
小 3 1010101 11
堤 3 101012 11
商 3 1011001 11
味 3 101102 11
名 3 10113 11
古 3 11000001 11
南 3 1100002 11
北 3 1100011 11
助 3 110003 11
到 3 1100101 11
修 3 110012 11
保 3 1101001 11
代 3 110102 11
他 3 11013 11
仕 3 20000001 11
パ 3 2000002 11
ダ 3 2000011 11
ゃ 3 200003 11
づ 3 2000101 11
ぞ 3 200012 11
ず 3 2001001 11
じ 3 200102 11
々 3 20013 11
風 2 000000000000 12
頷 2 00000000001 12
頭 2 00000000010 12
面 2 0000000002 12
集 2 00000000100 12
隻 2 0000000011 12
隊 2 0000000020 12
都 2 000000003 12
達 2 00000001000 12
進 2 0000000101 12
輪 2 0000000110 12
買 2 000000012 12
負 2 0000000200 12
覆 2 000000021 12
街 2 00000010000 12
能 2 0000001001 12
職 2 0000001010 12
老 2 000000102 12
美 2 0000001100 12
羊 2 000000111 12
細 2 00000013 12
等 2 0000002000 12
窓 2 000000201 12
積 2 00000022 12
神 2 00000100000 12
社 2 0000010001 12
砂 2 0000010010 12
知 2 000001002 12
直 2 0000010100 12
由 2 000001011 12
濡 2 00000103 12
深 2 0000011000 12
流 2 000001101 12
注 2 00000112 12
波 2 0000020000 12
治 2 000002001 12
汽 2 00000202 12
横 2 0000023 12
権 2 00001000000 12
様 2 0000100001 12
楽 2 0000100010 12
根 2 000010002 12
望 2 0000100100 12
有 2 000010011 12
暗 2 00001003 12
時 2 0000101000 12
日 2 000010101 12
放 2 00001012 12
支 2 0000110000 12
持 2 000011001 12
所 2 00001102 12
感 2 0000113 12
心 2 0000200000 12
役 2 000020001 12
度 2 00002002 12
床 2 0000203 12
工 2 00010000000 12
岸 2 0001000001 12
山 2 0001000010 12
尊 2 000100002 12
対 2 0001000100 12
寄 2 000100011 12
委 2 00010003 12
套 2 0001001000 12
多 2 000100101 12
境 2 00010012 12
図 2 0001010000 12
団 2 000101001 12
呼 2 00010102 12
参 2 0001013 12
厳 2 0001100000 12
午 2 000110001 12
十 2 00011002 12
区 2 0001103 12
匂 2 00100000000 12
動 2 0010000001 12
券 2 0010000010 12
全 2 001000002 12
元 2 0010000100 12
儀 2 001000011 12
信 2 00100003 12
便 2 0010001000 12
何 2 001000101 12
伸 2 00100012 12
以 2 0010010000 12
今 2 001001001 12
二 2 00100102 12
世 2 0010013 12
下 2 0010100000 12
三 2 001010001 12
丈 2 00101002 12
ヴ 2 0010103 12
ム 2 01000000000 12
ポ 2 0100000001 12
ホ 2 0100000010 12
ベ 2 010000002 12
ブ 2 0100000100 12
ピ 2 010000011 12
テ 2 01000003 12
シ 2 0100001000 12
グ 2 010000101 12
キ 2 01000012 12
ォ 2 0100010000 12
ゆ 2 010001001 12
ぬ 2 01000102 12
！ 1 0100013 12
高 1 0100022 12
験 1 0100100000 12
駆 1 010010001 12
首 1 01001002 12
養 1 0100103 12
飛 1 0100112 12
類 1 0200000000 12
領 1 020000001 12
頑 1 02000002 12
革 1 0200003 12
霧 1 0200012 12
雲 1 10000000000 12
雰 1 1000000001 12
雄 1 1000000010 12
階 1 100000002 12
院 1 1000000100 12
関 1 100000011 12
間 1 10000003 12
開 1 1000001000 12
閉 1 100000101 12
門 1 10000012 12
長 1 1000010000 12
醸 1 100001001 12
配 1 10000102 12
鄙 1 1000013 12
郭 1 1000022 12
選 1 1000100000 12
遥 1 100010001 12
連 1 10001002 12
造 1 1000103 12
逆 1 1000112 12
逃 1 1000202 12
追 1 100023 12
返 1 1001000000 12
迎 1 100100001 12
輝 1 10010002 12
載 1 1001003 12
軽 1 1001012 12
路 1 1001102 12
跡 1 100113 12
貿 1 1002002 12
費 1 100203 12
貶 1 1010000000 12
貌 1 101000001 12
護 1 10100002 12
議 1 1010003 12
識 1 1010012 12
謙 1 1010102 12
諺 1 101013 12
調 1 1011002 12
誰 1 101103 12
認 1 1100000000 12
誇 1 110000001 12
詰 1 11000002 12
設 1 1100003 12
託 1 1100012 12
計 1 1100102 12
角 1 110013 12
観 1 1101002 12
要 1 110103 12
襟 1 2000000000 12
褒 1 200000001 12
裕 1 20000002 12
裂 1 2000003 12
被 1 200001000 12
袖 1 20000101 12
表 1 2000012 12
虚 1 200010000 12
藁 1 20001001 12
薄 1 2000102 12
蔑 1 200013 12
蒸 1 200100000 12
莫 1 20010001 12
荘 1 2001002 12
英 1 200103 12
苦 1 000000000001 13
艦 1 00000000002 13
脇 1 00000000011 13
背 1 0000000003 13
胆 1 00000000101 13
肩 1 0000000012 13
聳 1 0000000021 13
聞 1 00000001001 13
耐 1 0000000102 13
織 1 0000000111 13
縮 1 000000013 13
縦 1 0000000201 13
緒 1 000000022 13
緑 1 00000010001 13
経 1 0000001002 13
組 1 0000001011 13
終 1 000000103 13
紗 1 0000001101 13
約 1 000000112 13
紀 1 0000002001 13
粗 1 000000202 13
簡 1 00000023 13
篠 1 00000100001 13
節 1 0000010002 13
管 1 0000010011 13
答 1 000001003 13
筋 1 0000010101 13
突 1 000001012 13
稲 1 0000011001 13
移 1 000001102 13
秘 1 00000113 13
秀 1 0000020001 13
礼 1 000002002 13
砕 1 00000203 13
短 1 00001000001 13
眺 1 0000100002 13
真 1 0000100011 13
眉 1 000010003 13
相 1 0000100101 13
的 1 000010012 13
百 1 0000101001 13
登 1 000010102 13
疑 1 00001013 13
界 1 0000110001 13
男 1 000011002 13
申 1 00001103 13
産 1 0000200001 13
瓦 1 000020002 13
理 1 00002003 13
珍 1 00010000001 13
独 1 0001000002 13
煉 1 0001000011 13
然 1 000100003 13
激 1 0001000101 13
潮 1 000100012 13
演 1 0001001001 13
漏 1 000100102 13
湖 1 00010013 13
測 1 0001010001 13
渡 1 000101002 13
消 1 00010103 13
浸 1 0001100001 13
浮 1 000110002 13
泥 1 00011003 13
泊 1 00100000001 13
沢 1 0010000002 13
沛 1 0010000011 13
沈 1 001000003 13
毛 1 0010000101 13
比 1 001000012 13
毎 1 0010001001 13
残 1 001000102 13
歴 1 00100013 13
正 1 0010010001 13
歌 1 001001002 13
機 1 00100103 13
構 1 0010100001 13
業 1 001010002 13
案 1 00101003 13
架 1 01000000001 13
枠 1 0100000002 13
板 1 0100000011 13
東 1 010000003 13
束 1 0100000101 13
末 1 010000012 13
服 1 0100001001 13
暴 1 010000102 13
昔 1 01000013 13
易 1 0100010001 13
昇 1 010001002 13
族 1 01000103 13
旅 1 0100023 13
断 1 0100100001 13
料 1 010010002 13
敵 1 01001003 13
敬 1 0100113 13
攻 1 0200000001 13
改 1 020000002 13
撥 1 02000003 13
摘 1 0200013 13
換 1 10000000001 13
揖 1 1000000002 13
描 1 1000000011 13
探 1 100000003 13
捨 1 1000000101 13
挨 1 100000012 13
拶 1 1000001001 13
拭 1 100000102 13
拝 1 10000013 13
拘 1 1000010001 13
押 1 100001002 13
抵 1 10000103 13
抱 1 1000023 13
抜 1 1000100001 13
折 1 100010002 13
抗 1 10001003 13
抑 1 1000113 13
扱 1 1000203 13
払 1 1001000001 13
扉 1 100100002 13
戸 1 10010003 13
戦 1 1001013 13
態 1 1001103 13
想 1 1002003 13
惜 1 1010000001 13
恭 1 101000002 13
性 1 10100003 13
急 1 1010013 13
念 1 1010103 13
快 1 1011003 13
応 1 1100000001 13
忘 1 110000002 13
必 1 11000003 13
徴 1 1100013 13
御 1 1100103 13
待 1 1101003 13
往 1 2000000001 13
彩 1 200000002 13
形 1 20000003 13
当 1 200001001 13
弁 1 20000102 13
幾 1 2000013 13
幹 1 200010001 13
幕 1 20001002 13
幅 1 2000103 13
帽 1 200100001 13
帳 1 20010002 13
席 1 2001003 13
巻 1 000000000002 14
己 1 00000000003 14
州 1 00000000012 14
崇 1 00000000102 14
峡 1 0000000013 14
岩 1 0000000022 14
属 1 00000001002 14
届 1 0000000103 14
導 1 0000000112 14
尋 1 0000000202 14
寧 1 000000023 14
客 1 00000010002 14
定 1 0000001003 14
完 1 0000001012 14
子 1 0000001102 14
嫌 1 000000113 14
威 1 0000002002 14
姿 1 000000203 14
妻 1 00000100002 14
好 1 0000010003 14
夫 1 0000010012 14
天 1 0000010102 14
変 1 000001013 14
売 1 0000011002 14
声 1 000001103 14
墓 1 0000020002 14
塩 1 000002003 14
域 1 00001000002 14
埋 1 0000100003 14
国 1 0000100012 14
囲 1 0000100102 14
回 1 000010013 14
嘆 1 0000101002 14
喜 1 000010103 14
善 1 0000110002 14
問 1 000011003 14
吟 1 0000200002 14
同 1 000020003 14
史 1 00010000002 14
台 1 0001000003 14
受 1 0001000012 14
去 1 0001000102 14
印 1 000100013 14
単 1 0001001002 14
半 1 000100103 14
千 1 0001010002 14
務 1 000101003 14
労 1 0001100002 14
割 1 000110003 14
刻 1 00100000002 14
制 1 0010000003 14
別 1 0010000012 14
切 1 0010000102 14
冷 1 001000013 14
再 1 0010001002 14
円 1 001000103 14
共 1 0010010002 14
六 1 001001003 14
充 1 0010100002 14
優 1 001010003 14
償 1 01000000002 14
像 1 0100000003 14
傘 1 0100000012 14
停 1 0100000102 14
値 1 010000013 14
侮 1 0100001002 14
使 1 010000103 14
作 1 0100010002 14
余 1 010001003 14
体 1 0100100002 14
低 1 010010003 14
伝 1 0200000002 14
付 1 020000003 14
五 1 10000000002 14
亀 1 1000000003 14
万 1 1000000012 14
七 1 1000000102 14
丁 1 100000013 14
ロ 1 1000001002 14
ャ 1 100000103 14
ペ 1 1000010002 14
プ 1 100001003 14
ニ 1 1000100002 14
デ 1 100010003 14
ゼ 1 1001000002 14
セ 1 100100003 14
ズ 1 1010000002 14
ザ 1 101000003 14
ゴ 1 1100000002 14
ケ 1 110000003 14
ギ 1 2000000002 14
ェ 1 200000003 14
ィ 1 200001002 14
へ 1 20000103 14
ぷ 1 200010002 14
ふ 1 20001003 14
ぜ 1 200100002 14
》 1 20010003 14
《 1 200001003 15
