10g: links: 371g; rechts: 127g, 127g, 127g
790g: naechtes Ergebnis: 793g: links: 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g
800g: naechtes Ergebnis: 802g: links: 371g, 371g, 371g, 127g; rechts: 2000g, 42g
810g: naechtes Ergebnis: 812g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 42g, 127g, 127g
820g: naechtes Ergebnis: 817g: links: 42g, 127g, 127g; rechts: 371g, 371g, 371g
830g: naechtes Ergebnis: 827g: links: 42g; rechts: 371g, 371g, 127g
840g: naechtes Ergebnis: 836g: links: /; rechts: 371g, 42g, 42g, 127g, 127g, 127g
850g: naechtes Ergebnis: 854g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 42g, 42g, 127g, 127g
860g: links: 42g, 42g, 42g, 127g; rechts: 371g, 371g, 371g
870g: links: 42g, 42g, 42g; rechts: 371g, 371g, 127g, 127g
880g: naechtes Ergebnis: 878g: links: /; rechts: 371g, 42g, 42g, 42g, 127g, 127g, 127g
890g: naechtes Ergebnis: 888g: links: 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 127g
900g: naechtes Ergebnis: 901g: links: 127g, 127g; rechts: 371g, 371g, 371g, 42g
910g: naechtes Ergebnis: 911g: links: /; rechts: 371g, 371g, 42g, 127g
920g: links: 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g
930g: links: 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 127g
940g: naechtes Ergebnis: 939g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 42g, 127g, 127g, 127g
950g: naechtes Ergebnis: 953g: links: /; rechts: 371g, 371g, 42g, 42g, 127g
960g: naechtes Ergebnis: 961g: links: 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 42g, 42g
970g: naechtes Ergebnis: 971g: links: 371g, 371g, 371g; rechts: 2000g, 42g, 42g
980g: naechtes Ergebnis: 981g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 42g, 42g, 127g, 127g, 127g
990g: naechtes Ergebnis: 987g: links: 42g, 42g, 42g; rechts: 371g, 371g, 371g
1000g: naechtes Ergebnis: 997g: links: 42g, 42g, 42g; rechts: 371g, 371g, 127g, 127g, 127g
1010g: naechtes Ergebnis: 1013g: links: 371g, 371g, 371g; rechts: 2000g, 42g, 42g, 42g
1020g: naechtes Ergebnis: 1019g: links: 42g, 42g, 127g, 127g, 127g; rechts: 371g, 371g, 371g, 371g
1030g: naechtes Ergebnis: 1029g: links: 42g, 42g; rechts: 371g, 371g, 371g
1040g: naechtes Ergebnis: 1039g: links: 42g, 42g; rechts: 371g, 371g, 127g, 127g, 127g
1050g: naechtes Ergebnis: 1047g: links: 371g, 371g, 42g, 42g, 127g; rechts: 2000g
1060g: naechtes Ergebnis: 1061g: links: 42g, 127g, 127g, 127g; rechts: 371g, 371g, 371g, 371g
1070g: links: 127g; rechts: 371g, 371g, 371g, 42g, 42g
1080g: links: /; rechts: 371g, 371g, 42g, 42g, 127g, 127g
1090g: naechtes Ergebnis: 1089g: links: 371g, 371g, 42g, 127g; rechts: 2000g
1100g: naechtes Ergebnis: 1099g: links: 371g, 371g, 371g, 42g; rechts: 2000g, 127g, 127g
1110g: naechtes Ergebnis: 1112g: links: 127g; rechts: 371g, 371g, 371g, 42g, 42g, 42g
1120g: naechtes Ergebnis: 1122g: links: /; rechts: 371g, 371g, 42g, 42g, 42g, 127g, 127g
1130g: links: 371g, 371g, 127g, 127g; rechts: 2000g, 42g, 42g, 42g
1140g: links: 371g, 371g, 371g; rechts: 2000g, 42g, 42g, 42g, 127g
1150g: naechtes Ergebnis: 1146g: links: 42g, 42g, 127g, 127g; rechts: 371g, 371g, 371g, 371g
1160g: naechtes Ergebnis: 1156g: links: 42g, 42g; rechts: 371g, 371g, 371g, 127g
1170g: naechtes Ergebnis: 1173g: links: 371g, 371g, 127g; rechts: 2000g, 42g
1180g: naechtes Ergebnis: 1183g: links: 371g, 371g, 371g; rechts: 2000g, 42g, 127g, 127g
1190g: naechtes Ergebnis: 1188g: links: 42g, 127g, 127g; rechts: 371g, 371g, 371g, 371g
1200g: naechtes Ergebnis: 1198g: links: 42g; rechts: 371g, 371g, 371g, 127g
1210g: naechtes Ergebnis: 1207g: links: /; rechts: 371g, 371g, 42g, 42g, 127g, 127g, 127g
1220g: naechtes Ergebnis: 1216g: links: 371g, 371g, 42g; rechts: 2000g
1230g: links: 127g, 127g; rechts: 371g, 371g, 371g, 371g
1240g: links: /; rechts: 371g, 371g, 371g, 127g
1250g: naechtes Ergebnis: 1249g: links: /; rechts: 371g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
1260g: naechtes Ergebnis: 1259g: links: 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 127g
1270g: naechtes Ergebnis: 1268g: links: 371g, 371g, 371g; rechts: 2000g, 127g, 127g, 127g
1280g: naechtes Ergebnis: 1282g: links: /; rechts: 371g, 371g, 371g, 42g, 127g
1290g: links: 371g, 127g, 127g, 127g; rechts: 2000g, 42g
1300g: links: 371g, 371g; rechts: 2000g, 42g
1310g: links: 371g, 371g, 371g; rechts: 2000g, 42g, 127g, 127g, 127g
1320g: naechtes Ergebnis: 1324g: links: /; rechts: 371g, 371g, 371g, 42g, 42g, 127g
1330g: naechtes Ergebnis: 1332g: links: 371g, 127g, 127g, 127g; rechts: 2000g, 42g, 42g
1340g: naechtes Ergebnis: 1342g: links: 371g, 371g; rechts: 2000g, 42g, 42g
1350g: naechtes Ergebnis: 1351g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g
1360g: naechtes Ergebnis: 1358g: links: 42g, 42g, 42g; rechts: 371g, 371g, 371g, 371g
1370g: naechtes Ergebnis: 1368g: links: 42g, 42g, 42g; rechts: 371g, 371g, 371g, 127g, 127g, 127g
1380g: naechtes Ergebnis: 1376g: links: 371g, 42g, 42g, 42g, 127g; rechts: 2000g
1390g: links: 42g, 42g, 127g, 127g, 127g; rechts: 371g, 371g, 371g, 371g, 371g
1400g: links: 42g, 42g; rechts: 371g, 371g, 371g, 371g
1410g: links: 42g, 42g; rechts: 371g, 371g, 371g, 127g, 127g, 127g
1420g: naechtes Ergebnis: 1418g: links: 371g, 42g, 42g, 127g; rechts: 2000g
1430g: naechtes Ergebnis: 1428g: links: 371g, 371g, 42g, 42g; rechts: 2000g, 127g, 127g
1440g: naechtes Ergebnis: 1441g: links: 127g; rechts: 371g, 371g, 371g, 371g, 42g, 42g
1450g: naechtes Ergebnis: 1451g: links: /; rechts: 371g, 371g, 371g, 42g, 42g, 127g, 127g
1460g: links: 371g, 42g, 127g; rechts: 2000g
1470g: links: 371g, 371g, 42g; rechts: 2000g, 127g, 127g
1480g: naechtes Ergebnis: 1478g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g, 2000g
1490g: naechtes Ergebnis: 1493g: links: /; rechts: 371g, 371g, 371g, 42g, 42g, 42g, 127g, 127g
1500g: naechtes Ergebnis: 1501g: links: 371g, 127g, 127g; rechts: 2000g, 42g, 42g, 42g
1510g: naechtes Ergebnis: 1511g: links: 371g, 371g; rechts: 2000g, 42g, 42g, 42g, 127g
1520g: links: 371g, 371g, 371g, 371g, 371g, 371g, 127g, 127g; rechts: 2000g, 2000g
1530g: naechtes Ergebnis: 1527g: links: 42g, 42g; rechts: 371g, 371g, 371g, 371g, 127g
1540g: naechtes Ergebnis: 1536g: links: /; rechts: 371g, 371g, 371g, 42g, 127g, 127g, 127g
1550g: naechtes Ergebnis: 1554g: links: 371g, 371g; rechts: 2000g, 42g, 127g, 127g
1560g: naechtes Ergebnis: 1559g: links: 42g, 127g, 127g; rechts: 371g, 371g, 371g, 371g, 371g
1570g: naechtes Ergebnis: 1569g: links: 42g; rechts: 371g, 371g, 371g, 371g, 127g
1580g: naechtes Ergebnis: 1578g: links: /; rechts: 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
1590g: naechtes Ergebnis: 1587g: links: 371g, 42g; rechts: 2000g
1600g: links: 127g, 127g, 127g; rechts: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
1610g: links: /; rechts: 371g, 371g, 371g, 371g, 42g, 42g, 42g
1620g: links: /; rechts: 371g, 371g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
1630g: links: 371g, 42g, 42g, 42g; rechts: 2000g, 127g
1640g: naechtes Ergebnis: 1639g: links: 371g, 371g; rechts: 2000g, 127g, 127g, 127g
1650g: naechtes Ergebnis: 1648g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g
1660g: naechtes Ergebnis: 1661g: links: 127g, 127g, 127g; rechts: 2000g, 42g
1670g: naechtes Ergebnis: 1671g: links: 371g; rechts: 2000g, 42g
1680g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g
1690g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g
1700g: naechtes Ergebnis: 1703g: links: 127g, 127g, 127g; rechts: 2000g, 42g, 42g
1710g: naechtes Ergebnis: 1713g: links: 371g; rechts: 2000g, 42g, 42g
1720g: naechtes Ergebnis: 1719g: links: 42g, 42g, 42g, 127g, 127g, 127g; rechts: 371g, 371g, 371g, 371g, 371g, 371g
1730g: naechtes Ergebnis: 1729g: links: 42g, 42g, 42g; rechts: 371g, 371g, 371g, 371g, 371g
1740g: naechtes Ergebnis: 1739g: links: 42g, 42g, 42g; rechts: 371g, 371g, 371g, 371g, 127g, 127g, 127g
1750g: naechtes Ergebnis: 1747g: links: 42g, 42g, 42g, 127g; rechts: 2000g
1760g: naechtes Ergebnis: 1761g: links: 42g, 42g, 127g, 127g, 127g; rechts: 371g, 371g, 371g, 371g, 371g, 371g
1770g: links: 127g; rechts: 371g, 371g, 371g, 371g, 371g, 42g
1780g: links: /; rechts: 371g, 371g, 371g, 371g, 42g, 127g, 127g
1790g: naechtes Ergebnis: 1789g: links: 42g, 42g, 127g; rechts: 2000g
1800g: naechtes Ergebnis: 1799g: links: 371g, 42g, 42g; rechts: 2000g, 127g, 127g
1810g: naechtes Ergebnis: 1812g: links: 127g; rechts: 371g, 371g, 371g, 371g, 371g, 42g, 42g
1820g: naechtes Ergebnis: 1822g: links: /; rechts: 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g
1830g: links: 127g, 127g; rechts: 2000g, 42g, 42g
1840g: links: 371g; rechts: 2000g, 42g, 42g, 127g
1850g: naechtes Ergebnis: 1849g: links: 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g, 2000g
1860g: naechtes Ergebnis: 1859g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 127g
1870g: naechtes Ergebnis: 1872g: links: 127g, 127g; rechts: 2000g, 42g, 42g, 42g
1880g: naechtes Ergebnis: 1882g: links: 371g; rechts: 2000g, 42g, 42g, 42g, 127g
1890g: links: 371g, 371g, 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 42g, 42g, 42g
1900g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 42g, 42g
1910g: naechtes Ergebnis: 1907g: links: /; rechts: 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
1920g: naechtes Ergebnis: 1916g: links: 42g, 42g; rechts: 2000g
1930g: links: 42g, 127g, 127g; rechts: 371g, 371g, 371g, 371g, 371g, 371g
1940g: links: 42g; rechts: 371g, 371g, 371g, 371g, 371g, 127g
1950g: naechtes Ergebnis: 1949g: links: /; rechts: 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
1960g: naechtes Ergebnis: 1958g: links: 42g; rechts: 2000g
1970g: naechtes Ergebnis: 1971g: links: 127g, 127g, 127g; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
1980g: naechtes Ergebnis: 1981g: links: /; rechts: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
1990g: links: 127g, 127g, 127g; rechts: 2000g, 371g
2000g: links: /; rechts: 2000g
2010g: links: 371g; rechts: 2000g, 127g, 127g, 127g
2020g: naechtes Ergebnis: 2019g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g
2030g: naechtes Ergebnis: 2029g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 127g, 127g, 127g
2040g: naechtes Ergebnis: 2042g: links: /; rechts: 2000g, 42g
2050g: naechtes Ergebnis: 2051g: links: 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g
2060g: links: 371g, 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 42g
2070g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 127g, 127g
2080g: naechtes Ergebnis: 2084g: links: /; rechts: 2000g, 42g, 42g
2090g: naechtes Ergebnis: 2093g: links: 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g
2100g: links: 42g, 42g, 42g; rechts: 371g, 371g, 371g, 371g, 371g, 371g
2110g: links: 42g, 42g, 42g; rechts: 371g, 371g, 371g, 371g, 371g, 127g, 127g, 127g
2120g: naechtes Ergebnis: 2118g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 371g
2130g: naechtes Ergebnis: 2128g: links: 42g, 42g, 42g; rechts: 2000g, 127g, 127g
2140g: naechtes Ergebnis: 2141g: links: 127g; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 42g
2150g: naechtes Ergebnis: 2151g: links: /; rechts: 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
2160g: links: 42g, 42g, 127g; rechts: 2000g, 371g
2170g: links: 42g, 42g; rechts: 2000g, 127g, 127g
2180g: naechtes Ergebnis: 2178g: links: 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g
2190g: naechtes Ergebnis: 2188g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 127g
2200g: naechtes Ergebnis: 2201g: links: 127g, 127g; rechts: 2000g, 371g, 42g, 42g
2210g: naechtes Ergebnis: 2211g: links: /; rechts: 2000g, 42g, 42g, 127g
2220g: links: 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g, 2000g
2230g: links: 371g, 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 127g
2240g: naechtes Ergebnis: 2239g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 42g, 127g, 127g, 127g
2250g: naechtes Ergebnis: 2253g: links: /; rechts: 2000g, 42g, 42g, 42g, 127g
2260g: naechtes Ergebnis: 2261g: links: 371g, 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 42g, 42g, 42g
2270g: naechtes Ergebnis: 2269g: links: 42g, 42g; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 127g
2280g: naechtes Ergebnis: 2281g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 42g, 42g, 127g, 127g, 127g
2290g: naechtes Ergebnis: 2287g: links: 42g, 42g; rechts: 2000g, 371g
2300g: naechtes Ergebnis: 2297g: links: 42g, 42g; rechts: 2000g, 127g, 127g, 127g
2310g: links: /; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g
2320g: links: /; rechts: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
2330g: naechtes Ergebnis: 2329g: links: 42g; rechts: 2000g, 371g
2340g: naechtes Ergebnis: 2339g: links: 42g; rechts: 2000g, 127g, 127g, 127g
2350g: naechtes Ergebnis: 2352g: links: /; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
2360g: naechtes Ergebnis: 2361g: links: 127g, 127g, 127g; rechts: 2000g, 371g, 371g
2370g: links: 127g; rechts: 2000g, 371g, 42g, 42g, 42g
2380g: links: /; rechts: 2000g, 42g, 42g, 42g, 127g, 127g
2390g: links: 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g
2400g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 127g, 127g, 127g
2410g: naechtes Ergebnis: 2413g: links: /; rechts: 2000g, 371g, 42g
2420g: naechtes Ergebnis: 2422g: links: 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g
2430g: naechtes Ergebnis: 2431g: links: 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 42g
2440g: naechtes Ergebnis: 2441g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 127g, 127g
2450g: naechtes Ergebnis: 2446g: links: 42g, 127g, 127g; rechts: 2000g, 371g, 371g
2460g: naechtes Ergebnis: 2456g: links: 42g; rechts: 2000g, 371g, 127g
2470g: naechtes Ergebnis: 2473g: links: 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 42g, 42g
2480g: links: /; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 127g, 127g
2490g: naechtes Ergebnis: 2489g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 371g, 371g
2500g: naechtes Ergebnis: 2499g: links: 42g, 42g, 42g; rechts: 2000g, 371g, 127g, 127g
2510g: naechtes Ergebnis: 2507g: links: /; rechts: 2000g, 42g, 42g, 42g, 127g, 127g, 127g
2520g: naechtes Ergebnis: 2522g: links: /; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
2530g: links: 127g, 127g; rechts: 2000g, 371g, 371g, 42g
2540g: links: /; rechts: 2000g, 371g, 42g, 127g
2550g: naechtes Ergebnis: 2549g: links: 371g, 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g
2560g: naechtes Ergebnis: 2559g: links: 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 127g
2570g: naechtes Ergebnis: 2568g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 127g, 127g, 127g
2580g: naechtes Ergebnis: 2582g: links: /; rechts: 2000g, 371g, 42g, 42g, 127g
2590g: links: 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 42g, 42g
2600g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 42g
2610g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 42g, 127g, 127g, 127g
2620g: naechtes Ergebnis: 2616g: links: 42g, 42g, 42g; rechts: 2000g, 371g, 371g
2630g: naechtes Ergebnis: 2632g: links: 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 42g, 42g, 42g
2640g: naechtes Ergebnis: 2642g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 42g, 42g
2650g: naechtes Ergebnis: 2649g: links: /; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
2660g: naechtes Ergebnis: 2658g: links: 42g, 42g; rechts: 2000g, 371g, 371g
2670g: naechtes Ergebnis: 2668g: links: 42g, 42g; rechts: 2000g, 371g, 127g, 127g, 127g
2680g: naechtes Ergebnis: 2676g: links: 371g, 371g, 371g, 42g, 42g, 127g; rechts: 2000g, 2000g
2690g: links: 42g, 127g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g
2700g: links: 42g; rechts: 2000g, 371g, 371g
2710g: links: 42g; rechts: 2000g, 371g, 127g, 127g, 127g
2720g: naechtes Ergebnis: 2718g: links: 371g, 371g, 371g, 42g, 127g; rechts: 2000g, 2000g
2730g: naechtes Ergebnis: 2728g: links: 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 127g, 127g
2740g: naechtes Ergebnis: 2741g: links: 127g; rechts: 2000g, 371g, 371g, 42g, 42g, 42g
2750g: naechtes Ergebnis: 2751g: links: /; rechts: 2000g, 371g, 42g, 42g, 42g, 127g, 127g
2760g: links: 371g, 371g, 371g, 127g; rechts: 2000g, 2000g
2770g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 127g, 127g
