10g: links: /; rechts: 10g
1760g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 10g
1770g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 10g, 10g
1780g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 10g, 10g, 10g
1790g: links: 10g; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g
1800g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g
1810g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 10g
1820g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 10g, 10g
1830g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 10g, 10g, 10g
1840g: links: 10g; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g
1850g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g
1860g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 10g
1870g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 10g, 10g
1880g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 10g, 10g, 10g
1890g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g
1900g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g
1910g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 10g
1920g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 10g, 10g
1930g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 10g, 10g, 10g
1940g: links: 50g, 10g; rechts: 500g, 500g, 1000g
1950g: links: 50g; rechts: 500g, 500g, 1000g
1960g: links: 50g; rechts: 500g, 500g, 1000g, 10g
1970g: links: 10g, 10g, 10g; rechts: 500g, 500g, 1000g
1980g: links: 10g, 10g; rechts: 500g, 500g, 1000g
1990g: links: 10g; rechts: 500g, 500g, 1000g
2000g: links: /; rechts: 500g, 500g, 1000g
2010g: links: /; rechts: 500g, 500g, 1000g, 10g
2020g: links: /; rechts: 500g, 500g, 1000g, 10g, 10g
2030g: links: /; rechts: 500g, 500g, 1000g, 10g, 10g, 10g
2040g: links: 10g; rechts: 50g, 500g, 500g, 1000g
2050g: links: /; rechts: 50g, 500g, 500g, 1000g
2060g: links: /; rechts: 50g, 500g, 500g, 1000g, 10g
2070g: links: /; rechts: 50g, 500g, 500g, 1000g, 10g, 10g
2080g: links: /; rechts: 50g, 500g, 500g, 1000g, 10g, 10g, 10g
2090g: links: 10g; rechts: 50g, 50g, 500g, 500g, 1000g
2100g: links: /; rechts: 50g, 50g, 500g, 500g, 1000g
2110g: links: /; rechts: 50g, 50g, 500g, 500g, 1000g, 10g
2120g: links: /; rechts: 50g, 50g, 500g, 500g, 1000g, 10g, 10g
2130g: links: /; rechts: 50g, 50g, 500g, 500g, 1000g, 10g, 10g, 10g
2140g: links: 10g; rechts: 50g, 100g, 500g, 500g, 1000g
2150g: links: /; rechts: 50g, 100g, 500g, 500g, 1000g
2160g: links: /; rechts: 50g, 100g, 500g, 500g, 1000g, 10g
2170g: links: /; rechts: 50g, 100g, 500g, 500g, 1000g, 10g, 10g
2180g: links: /; rechts: 50g, 100g, 500g, 500g, 1000g, 10g, 10g, 10g
2190g: links: 10g; rechts: 50g, 50g, 100g, 500g, 500g, 1000g
2200g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 1000g
2210g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 10g
2220g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 10g, 10g
2230g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 10g, 10g, 10g
2240g: links: 10g; rechts: 50g, 100g, 100g, 500g, 500g, 1000g
2250g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 1000g
2260g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 10g
2270g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 10g, 10g
2280g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 10g, 10g, 10g
2290g: links: 10g; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g
2300g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g
2310g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 10g
2320g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 10g, 10g
2330g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 10g, 10g, 10g
2340g: links: 10g; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g
2350g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g
2360g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 10g
2370g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 10g, 10g
2380g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 10g, 10g, 10g
2390g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g
2400g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g
2410g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 10g
2420g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 10g, 10g
2430g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 10g, 10g, 10g
2440g: links: 50g, 10g; rechts: 500g, 500g, 500g, 1000g
2450g: links: 50g; rechts: 500g, 500g, 500g, 1000g
2460g: links: 50g; rechts: 500g, 500g, 500g, 1000g, 10g
2470g: links: 10g, 10g, 10g; rechts: 500g, 500g, 500g, 1000g
2480g: links: 10g, 10g; rechts: 500g, 500g, 500g, 1000g
2490g: links: 10g; rechts: 500g, 500g, 500g, 1000g
2500g: links: /; rechts: 500g, 500g, 500g, 1000g
2510g: links: /; rechts: 500g, 500g, 500g, 1000g, 10g
2520g: links: /; rechts: 500g, 500g, 500g, 1000g, 10g, 10g
2530g: links: /; rechts: 500g, 500g, 500g, 1000g, 10g, 10g, 10g
2540g: links: 10g; rechts: 50g, 500g, 500g, 500g, 1000g
2550g: links: /; rechts: 50g, 500g, 500g, 500g, 1000g
2560g: links: /; rechts: 50g, 500g, 500g, 500g, 1000g, 10g
2570g: links: /; rechts: 50g, 500g, 500g, 500g, 1000g, 10g, 10g
2580g: links: /; rechts: 50g, 500g, 500g, 500g, 1000g, 10g, 10g, 10g
2590g: links: 10g; rechts: 50g, 50g, 500g, 500g, 500g, 1000g
2600g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 1000g
2610g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 10g
2620g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 10g, 10g
2630g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 10g, 10g, 10g
2640g: links: 10g; rechts: 50g, 100g, 500g, 500g, 500g, 1000g
2650g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 1000g
2660g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 10g
2670g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 10g, 10g
2680g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 10g, 10g, 10g
2690g: links: 10g; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g
2700g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g
2710g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 10g
2720g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 10g, 10g
2730g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 10g, 10g, 10g
2740g: links: 10g; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g
2750g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g
2760g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 10g
2770g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 10g, 10g
2780g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 10g, 10g, 10g
2790g: links: 10g; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g
2800g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g
2810g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 10g
2820g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 10g, 10g
2830g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 10g, 10g, 10g
2840g: links: 10g; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g
2850g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g
2860g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 10g
2870g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 10g, 10g
2880g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 10g, 10g, 10g
2890g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g
2900g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g
2910g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 10g
2920g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 10g, 10g
2930g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 10g, 10g, 10g
2940g: links: 50g, 10g; rechts: 500g, 500g, 1000g, 1000g
2950g: links: 50g; rechts: 500g, 500g, 1000g, 1000g
2960g: links: 50g; rechts: 500g, 500g, 1000g, 1000g, 10g
2970g: links: 10g, 10g, 10g; rechts: 500g, 500g, 1000g, 1000g
2980g: links: 10g, 10g; rechts: 500g, 500g, 1000g, 1000g
2990g: links: 10g; rechts: 500g, 500g, 1000g, 1000g
3000g: links: /; rechts: 500g, 500g, 1000g, 1000g
3010g: links: /; rechts: 500g, 500g, 1000g, 1000g, 10g
3020g: links: /; rechts: 500g, 500g, 1000g, 1000g, 10g, 10g
3030g: links: /; rechts: 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3040g: links: 10g; rechts: 50g, 500g, 500g, 1000g, 1000g
3050g: links: /; rechts: 50g, 500g, 500g, 1000g, 1000g
3060g: links: /; rechts: 50g, 500g, 500g, 1000g, 1000g, 10g
3070g: links: /; rechts: 50g, 500g, 500g, 1000g, 1000g, 10g, 10g
3080g: links: /; rechts: 50g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3090g: links: 10g; rechts: 50g, 50g, 500g, 500g, 1000g, 1000g
3100g: links: /; rechts: 50g, 50g, 500g, 500g, 1000g, 1000g
3110g: links: /; rechts: 50g, 50g, 500g, 500g, 1000g, 1000g, 10g
3120g: links: /; rechts: 50g, 50g, 500g, 500g, 1000g, 1000g, 10g, 10g
3130g: links: /; rechts: 50g, 50g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3140g: links: 10g; rechts: 50g, 100g, 500g, 500g, 1000g, 1000g
3150g: links: /; rechts: 50g, 100g, 500g, 500g, 1000g, 1000g
3160g: links: /; rechts: 50g, 100g, 500g, 500g, 1000g, 1000g, 10g
3170g: links: /; rechts: 50g, 100g, 500g, 500g, 1000g, 1000g, 10g, 10g
3180g: links: /; rechts: 50g, 100g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3190g: links: 10g; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 1000g
3200g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 1000g
3210g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 1000g, 10g
3220g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 1000g, 10g, 10g
3230g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3240g: links: 10g; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 1000g
3250g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 1000g
3260g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 10g
3270g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 10g, 10g
3280g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3290g: links: 10g; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 1000g
3300g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 1000g
3310g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 10g
3320g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 10g, 10g
3330g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3340g: links: 10g; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g
3350g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g
3360g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 10g
3370g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 10g, 10g
3380g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3390g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g
3400g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g
3410g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 10g
3420g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 10g, 10g
3430g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3440g: links: 50g, 10g; rechts: 500g, 500g, 500g, 1000g, 1000g
3450g: links: 50g; rechts: 500g, 500g, 500g, 1000g, 1000g
3460g: links: 50g; rechts: 500g, 500g, 500g, 1000g, 1000g, 10g
3470g: links: 10g, 10g, 10g; rechts: 500g, 500g, 500g, 1000g, 1000g
3480g: links: 10g, 10g; rechts: 500g, 500g, 500g, 1000g, 1000g
3490g: links: 10g; rechts: 500g, 500g, 500g, 1000g, 1000g
3500g: links: /; rechts: 500g, 500g, 500g, 1000g, 1000g
3510g: links: /; rechts: 500g, 500g, 500g, 1000g, 1000g, 10g
3520g: links: /; rechts: 500g, 500g, 500g, 1000g, 1000g, 10g, 10g
3530g: links: /; rechts: 500g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3540g: links: 10g; rechts: 50g, 500g, 500g, 500g, 1000g, 1000g
3550g: links: /; rechts: 50g, 500g, 500g, 500g, 1000g, 1000g
3560g: links: /; rechts: 50g, 500g, 500g, 500g, 1000g, 1000g, 10g
3570g: links: /; rechts: 50g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g
3580g: links: /; rechts: 50g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3590g: links: 10g; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 1000g
3600g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 1000g
3610g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 1000g, 10g
3620g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g
3630g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3640g: links: 10g; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 1000g
3650g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 1000g
3660g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g
3670g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g
3680g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3690g: links: 10g; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 1000g
3700g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 1000g
