Amount of moves: 1308
66 108 96 26
66 108 97 26
66 107 97 25
67 107 98 25
67 108 98 25
68 108 99 25
69 108 100 25
70 108 101 25
70 109 101 26
71 109 102 26
71 110 102 27
70 110 101 27
70 111 101 28
71 111 102 28
71 112 102 29
71 113 102 30
71 113 103 30
71 112 103 29
71 111 103 28
71 111 104 28
71 112 104 29
71 113 104 30
70 113 104 30
69 113 104 30
69 114 104 30
69 114 105 30
69 114 106 30
69 114 107 30
69 115 107 31
69 116 107 31
70 116 108 31
70 116 108 32
69 116 108 32
69 117 108 33
69 117 109 33
69 117 110 33
69 118 110 34
69 119 110 35
68 119 109 35
67 119 108 35
67 118 108 35
66 118 107 35
65 118 107 35
65 117 107 34
64 117 106 34
64 118 106 35
64 119 106 36
63 119 106 36
63 120 106 37
64 120 106 37
64 121 106 38
63 121 106 38
63 122 106 39
64 122 106 39
65 122 106 39
65 123 106 40
65 123 105 40
65 123 104 40
65 123 103 40
65 124 103 41
65 125 103 42
65 126 103 43
65 127 103 43
65 127 102 43
65 128 102 44
66 128 102 44
66 129 102 45
66 130 102 46
66 131 102 46
65 131 102 46
64 131 102 46
65 131 103 46
65 132 103 47
66 132 104 47
66 132 105 47
66 133 105 48
67 133 105 48
67 134 105 49
68 134 106 49
69 134 106 49
69 134 106 50
70 134 107 50
70 135 107 51
69 135 106 51
69 136 106 52
68 136 105 52
67 136 105 52
67 136 105 51
66 136 104 51
66 137 104 51
65 137 103 51
65 138 103 52
65 138 104 52
65 139 104 53
64 139 104 53
63 139 104 53
62 139 104 53
62 140 104 54
61 140 103 54
60 140 103 54
60 141 103 55
59 141 102 55
59 140 102 54
58 140 101 54
58 141 101 54
58 142 101 54
59 142 102 54
59 142 102 55
60 142 103 55
61 142 103 55
61 143 103 56
62 143 104 56
63 143 105 56
63 142 105 55
62 142 105 55
62 141 105 55
63 141 105 55
64 141 105 55
64 140 105 55
65 140 105 55
66 140 105 55
66 141 105 56
67 141 106 56
67 140 106 55
68 140 106 55
68 140 106 56
69 140 107 56
69 140 107 57
69 139 107 56
70 139 107 56
70 140 107 57
71 140 108 57
71 141 108 57
72 141 109 57
72 142 109 58
72 143 109 59
73 143 109 59
74 143 109 59
74 144 109 60
75 144 110 60
75 145 110 61
75 145 109 61
75 146 109 62
75 146 109 63
76 146 110 63
76 146 111 63
76 146 112 63
76 146 113 63
76 145 113 62
77 145 114 62
78 145 115 62
79 145 116 62
79 145 116 63
80 145 117 63
80 145 118 63
80 146 118 64
81 146 119 64
81 145 119 64
81 144 119 64
82 144 119 64
82 144 119 65
82 144 120 65
82 143 120 65
83 143 121 65
83 142 121 64
84 142 122 64
84 141 122 64
83 141 121 64
82 141 120 64
82 140 120 63
82 139 120 62
83 139 121 62
83 139 122 62
83 138 122 62
83 137 122 62
83 136 122 62
83 135 122 62
84 135 122 62
84 134 122 62
84 134 121 62
84 133 121 61
83 133 121 61
82 133 121 61
81 133 121 61
80 133 121 61
79 133 121 61
79 132 121 60
78 132 121 60
78 131 121 60
77 131 121 60
77 130 121 60
77 129 121 60
77 128 121 60
78 128 122 60
78 127 122 59
78 127 121 59
78 126 121 58
78 125 121 58
77 125 120 58
76 125 119 58
76 124 119 57
77 124 119 57
77 123 119 56
78 123 119 56
79 123 119 56
79 122 119 55
80 122 119 55
80 121 119 54
81 121 120 54
82 121 121 54
83 121 122 54
84 121 122 54
85 121 122 54
86 121 122 54
86 122 122 55
85 122 121 55
85 123 121 56
86 123 122 56
86 124 122 57
87 124 123 57
88 124 124 57
88 123 124 56
88 122 124 55
89 122 125 55
89 121 125 54
90 121 125 54
90 120 125 53
91 120 125 53
91 119 125 52
91 118 125 51
91 117 125 50
90 117 125 50
90 116 125 50
90 115 125 50
91 115 125 50
91 116 125 51
92 116 126 51
92 116 126 52
92 116 126 53
92 116 127 53
92 115 127 52
92 114 127 51
92 113 127 51
92 112 127 51
92 111 127 51
91 111 127 51
91 110 127 51
91 109 127 51
91 108 127 51
91 107 127 51
91 107 128 51
91 106 128 50
91 105 128 49
91 104 128 48
91 103 128 47
92 103 128 47
92 104 128 48
92 105 128 49
93 105 129 49
94 105 129 49
94 105 129 50
94 105 130 50
94 104 130 50
94 103 130 50
95 103 131 50
96 103 132 50
96 104 132 51
96 104 132 52
96 104 132 53
97 104 133 53
97 105 133 54
97 106 133 55
97 106 133 56
98 106 134 56
98 107 134 57
98 107 134 58
98 107 134 59
98 107 133 59
98 107 133 60
98 107 132 60
98 107 131 60
98 107 130 60
98 107 130 61
98 107 130 62
99 107 131 62
100 107 131 62
100 108 131 63
100 109 131 63
100 110 131 63
101 110 132 63
101 110 132 64
101 110 132 65
101 109 132 64
101 109 131 64
101 109 130 64
101 109 129 64
101 108 129 63
102 108 129 63
102 107 129 62
103 107 129 62
103 106 129 62
102 106 128 62
101 106 127 62
101 106 127 63
101 106 127 64
101 106 127 65
101 106 126 65
101 106 126 66
101 106 125 66
101 106 125 67
101 106 124 67
101 106 124 68
102 106 125 68
102 106 125 69
102 106 125 70
101 106 124 70
101 106 124 71
101 106 123 71
101 106 122 71
101 106 122 72
101 106 122 73
101 106 122 74
101 106 121 74
101 106 120 74
101 106 119 74
101 106 119 73
101 106 118 73
101 106 117 73
101 106 116 73
101 106 115 73
101 106 115 72
101 106 115 71
101 106 114 71
101 106 113 71
101 106 113 70
102 106 113 70
103 106 113 70
104 106 113 70
104 105 113 69
104 105 112 69
104 105 111 69
105 105 112 69
105 104 112 68
105 103 112 67
104 103 111 67
104 103 110 67
104 103 110 68
104 103 110 69
105 103 110 69
106 103 110 69
106 104 110 70
107 104 111 70
107 105 111 71
107 105 110 71
107 105 110 72
107 105 109 72
107 105 108 72
107 105 108 73
108 105 109 73
109 105 110 73
109 104 110 73
109 103 110 73
110 103 110 73
110 104 110 74
110 105 110 75
110 105 110 76
110 105 110 77
110 105 110 78
110 105 109 78
110 105 109 79
110 105 109 80
111 105 109 80
111 106 109 81
112 106 110 81
113 106 111 81
114 106 111 81
114 105 111 80
114 104 111 79
114 103 111 78
115 103 112 78
115 102 112 78
115 101 112 78
116 101 113 78
117 101 114 78
117 100 114 78
117 99 114 78
117 98 114 78
118 98 114 78
119 98 114 78
120 98 114 78
120 97 114 78
119 97 113 78
119 97 112 78
119 96 112 78
120 96 113 78
121 96 114 78
122 96 114 78
122 95 114 78
122 94 114 78
121 94 113 78
120 94 112 78
120 93 112 78
120 92 112 78
120 92 111 78
121 92 112 78
121 92 112 79
122 92 113 79
123 92 113 79
124 92 113 79
124 93 113 80
125 93 114 80
125 94 114 80
126 94 115 80
127 94 116 80
128 94 117 80
128 93 117 80
129 93 117 80
130 93 117 80
130 94 117 81
130 94 116 81
130 95 116 82
130 96 116 83
131 96 117 83
132 96 118 83
132 97 118 83
132 97 117 83
133 97 118 83
134 97 119 83
134 98 119 84
133 98 118 84
133 99 118 85
133 100 118 86
133 100 117 86
133 100 116 86
133 99 116 85
132 99 115 85
132 100 115 86
132 101 115 87
132 102 115 87
132 103 115 87
132 104 115 87
133 104 116 87
133 105 116 88
133 106 116 89
134 106 116 89
134 107 116 89
134 108 116 89
134 108 115 89
134 109 115 90
134 110 115 91
134 110 115 92
133 110 114 92
133 111 114 93
133 112 114 94
134 112 114 94
134 113 114 94
135 113 114 94
135 114 114 94
135 114 113 94
135 115 113 95
135 116 113 96
135 117 113 96
135 118 113 96
135 119 113 96
134 119 112 96
133 119 111 96
132 119 111 96
132 118 111 96
131 118 111 96
130 118 111 96
130 117 111 96
130 116 111 96
130 115 111 96
129 115 111 96
129 116 111 97
128 116 111 97
127 116 111 97
126 116 111 97
127 116 112 97
127 117 112 98
126 117 111 98
125 117 111 98
124 117 111 98
124 118 111 99
124 119 111 100
124 119 111 101
125 119 112 101
125 120 112 102
126 120 112 102
127 120 112 102
127 121 112 103
126 121 111 103
125 121 111 103
125 122 111 104
125 122 111 105
124 122 110 105
124 121 110 104
123 121 109 104
122 121 109 104
122 122 109 104
121 122 109 104
120 122 109 104
120 121 109 103
119 121 108 103
118 121 107 103
118 122 107 104
118 123 107 105
118 123 108 105
118 124 108 106
118 125 108 107
117 125 108 107
117 126 108 107
116 126 108 107
116 127 108 107
116 128 108 107
115 128 108 107
114 128 108 107
114 129 108 107
114 130 108 107
114 131 108 107
114 132 108 107
115 132 109 107
116 132 110 107
116 132 110 108
117 132 111 108
118 132 112 108
118 133 112 109
118 133 111 109
118 134 111 110
119 134 111 110
119 135 111 111
119 135 112 111
119 135 113 111
119 136 113 111
119 137 113 111
120 137 114 111
120 137 114 110
120 137 115 110
120 138 115 111
120 139 115 112
120 139 115 113
120 139 115 114
121 139 116 114
121 139 117 114
121 139 118 114
121 140 118 114
121 141 118 114
122 141 119 114
122 142 119 114
122 143 119 114
123 143 120 114
124 143 121 114
124 142 121 113
124 141 121 112
124 140 121 112
124 139 121 112
124 138 121 112
125 138 122 112
126 138 123 112
127 138 124 112
127 138 124 113
128 138 125 113
128 137 125 112
128 136 125 112
127 136 125 112
127 135 125 112
128 135 126 112
129 135 127 112
129 134 127 111
130 134 128 111
130 133 128 111
131 133 129 111
131 133 129 112
131 133 129 113
132 133 130 113
133 133 131 113
134 133 131 113
134 133 131 114
133 133 130 114
133 133 130 115
133 133 130 116
134 133 131 116
134 133 131 117
133 133 130 117
133 133 130 118
134 133 131 118
134 133 131 119
135 133 132 119
135 133 133 119
135 132 133 118
136 132 134 118
136 131 134 117
136 131 135 117
136 132 135 118
136 133 135 119
136 133 136 119
136 133 136 120
136 133 137 120
136 133 137 121
136 133 136 121
136 133 135 121
136 133 134 121
136 133 134 122
136 133 133 122
136 133 132 122
136 133 132 123
136 133 131 123
136 132 131 122
135 132 130 122
135 133 130 123
135 134 130 124
134 134 129 124
134 134 129 125
133 134 128 125
133 135 128 126
133 135 128 127
133 135 128 128
134 135 129 128
135 135 130 128
135 135 130 129
134 135 129 129
134 136 129 130
134 136 130 130
134 137 130 131
134 138 130 132
134 138 129 132
134 138 129 133
135 138 130 133
135 139 130 134
135 140 130 135
134 140 129 135
133 140 128 135
132 140 127 135
132 140 127 136
132 140 127 137
132 140 127 138
132 140 127 139
132 140 127 140
132 140 127 141
132 140 127 142
133 140 128 142
134 140 129 142
135 140 130 142
136 140 131 142
137 140 132 142
137 140 132 143
138 140 133 143
138 140 133 144
138 140 134 144
138 140 134 145
138 140 134 146
138 140 135 146
138 140 135 147
138 140 136 147
138 139 136 146
138 139 137 146
138 139 138 146
138 138 138 145
138 138 138 144
138 138 138 143
139 138 139 143
139 139 139 143
140 139 140 143
140 140 140 144
140 141 140 144
140 142 140 144
140 143 140 144
141 143 141 144
141 143 141 143
142 143 142 143
142 143 143 143
142 143 144 143
142 143 145 143
142 142 145 142
143 142 146 142
143 143 146 143
144 143 147 143
144 143 147 144
145 143 147 144
145 144 147 145
145 145 147 146
145 146 147 147
145 147 147 148
146 147 147 148
147 147 147 148
147 148 147 149
148 148 148 149
149 148 149 149
149 149 149 150
149 150 149 150
150 150 150 150
Program ran for 139.892766 seconds.
